a parameter list without types is only allowed in a function definition,4
array type is not assignable,1
assigning to type A from incompatible type B,164
attempt to use a poisoned identifier,3
called object type '<dependent type>' is not a function or function pointer,40
called object type 'int' is not a function or function pointer,21
cannot assign to variable,3
cannot combine with previous declaration specifier,2
conflicting types for a function,69
"expected ;, ('",2466
expected apostrophe near declaration specifiers,3
expected expression,3835
expected identifier or '(',385
incomplete definition of type,62
invalid conversion between vector type __m128,2
invalid conversion between vector type __m128d,26
invalid conversion between vector type __m128i,114
invalid operands to binary expression,187
member reference type '__128i' is not a structure or union,390
member reference type is not a pointer,2
member reference type is not a structure or union,117
must use 'enum' tag to refer to type,26
must use 'struct' tag to refer to type,2
must use 'union' tag to refer to type,1849
not pointers to compatible types,1
passing sth to parameter of incompatible type,14
read-only variable is not assignable,4
redefinition of __ptr32,1
redefinition of label,9
redefinition of parameter,7
statement requires expression of scalar type,8
static declaration of 'A' follows non-static declaration,3
subscript of pointer to function type,1
subscript of pointer to incomplete type,10
"subscripted value is not an array, pointer, or vector",3
too few arguments to function call,22
too many arguments provided to function-like macro invocation,35
too many arguments to function call,26
type 'A' is not assignable,9
typecasting pointer,1265
unknown error,9
unknown type name,479
unknown type name with suffix '_0',45
use of undeclared identifier,24950
variable has incomplete type,1
